,bff_meta,error,error_msg,data
account,,,,"{'portrait': 'd2d1727b9f8f855d53af0f07302c8462', 'username': 'nrakidscollection', 'status': 1}"
ctime,,,,1605586087
follower_count,,,,5818
is_official_shop,,,,False
is_preferred_plus_seller,,,,False
is_shopee_verified,,,,True
item_count,,,,197
last_active_time,,,,1649226963
name,,,,NRA Kids Collection
place,,,,"KAB. BANDUNG - BALEENDAH, JAWA BARAT, ID"
rating_bad,,,,44
rating_good,,,,11259
rating_normal,,,,309
rating_star,,,,4.810269
response_rate,,,,97
response_time,,,,1016
session_info,,,,
session_infos,,,,
shop_location,,,,KAB. BANDUNG
shopid,,,,340258562
show_official_shop_label,,,,False
show_shopee_mission,,,,False
status,,,,1
userid,,,,340278137
vacation,,,,False
